"Tid (s)","Rörelsemängdsmoment (kg * m^2/s)","L/L0 – 1","Energi (J)","E/E0 – 1","Avstånd från analytisk lösning (m)","Hastighet (m/s)","V/V0 – 1","Delta hastighet (m/s)"
0.100000000000002,4000000.03337171,8.34292634976919E-09,-293714.999410753,-2.27233543093064E-09,1.9828622839471E-13,0.0400010586845555,2.64671138874295E-05,0.000333716353493572
0.199999999999994,4000000.06674469,1.6686171555591E-08,-293714.998743399,-4.54444826214484E-09,1.58518911475485E-12,0.0400042340058744,0.000105850146861153,0.000333724816392513
0.299999999999983,4000000.1001202,2.50300495885369E-08,-293714.998076176,-6.81611800334991E-09,5.35670046480191E-12,0.0400095257694133,0.000238144235332971,0.000333741747570873
0.399999999999972,4000000.13349953,3.33748817471502E-08,-293714.997409148,-9.08712260994093E-09,1.27033563740924E-11,0.0400169336512813,0.000423341282031808,0.000333767149323745
0.499999999999961,4000000.16688394,4.17209844449928E-08,-293714.99674238,-1.13572420357144E-08,2.48213872548054E-11,0.0400264571986287,0.000661429965717497,0.000333801025095095
0.59999999999995,4000000.20027471,5.00686767601621E-08,-293714.996075937,-1.3626252237664E-08,4.28981104573184E-11,0.040038095830192,0.000952395754800772,0.000333843379478833
0.699999999999939,4000000.2336731,5.84182762164431E-08,-293714.995409886,-1.58939302830063E-08,6.81275214615863E-11,0.0400518488369918,0.00129622092479464,0.000333894218220313
0.799999999999928,4000000.26708041,6.67701018919331E-08,-293714.994744292,-1.81600527948689E-08,1.01699905442605E-10,0.0400677153831844,0.00169288457961025,0.000333953548218196
0.899999999999917,4000000.30049789,7.51244717545063E-08,-293714.994079221,-2.04243950641114E-08,1.44807214896939E-10,0.0400856945070657,0.00214236267664303,0.000334021377526644
0.999999999999906,4000000.33392682,8.34817062145277E-08,-293714.993414738,-2.26867346020398E-08,1.98646448319545E-10,0.0401057851222251,0.00264462805562848,0.000334097715357933
1.0999999999999,4000000.36736849,9.18421216855592E-08,-293714.99275091,-2.49468439239564E-08,2.64405042557303E-10,0.040127986018849,0.00319965047122528,0.000334182572085425
